order_id,symbol,direction,created_at,entry,sl,tp1,tp2,rr,confidence,stop_pct,volume,24h_change,strategy_id,telegram_pushed,alert_id,source_opportunity_ids,repeat_count
101,CLOUSDT,LONG,2026-06-22T12:54:49+00:00,0.23518838,0.2289,0.24147676,0.24776515,2.00,MEDIUM,2.674,N/A,N/A,hotlist_v1,N,,"344,349,363,368,297",5
102,CLOUSDT,LONG,2026-06-23T04:32:46+00:00,0.27062114,0.23202,0.30922228,0.34782342,2.00,MEDIUM,14.264,N/A,N/A,hotlist_v1,N,,381,1
103,CLOUSDT,LONG,2026-06-23T04:46:27+00:00,0.27358583,0.23202,0.31515167,0.3567175,2.00,MEDIUM,15.193,N/A,N/A,hotlist_v1,N,,387,1
104,CLOUSDT,SHORT,2026-06-21T19:54:07+00:00,0.18140925,0.18905,0.1737685,0.16612774,2.00,WEAK,4.212,N/A,N/A,hotlist_v1,N,,"188,193,198,203,177,182",6
105,CLOUSDT,SHORT,2026-06-21T18:48:39+00:00,0.18204324,0.199,0.16508648,0.14812972,2.00,WEAK,9.315,N/A,N/A,hotlist_v1,N,,167,1
106,CLOUSDT,SHORT,2026-06-21T19:38:26+00:00,0.18283643,0.1918,0.17387286,0.16490929,2.00,WEAK,4.903,N/A,N/A,hotlist_v1,N,,173,1
107,CLOUSDT,SHORT,2026-06-21T20:31:48+00:00,0.18556107,0.18905,0.18207214,0.17858321,2.00,MEDIUM,1.88,N/A,N/A,hotlist_v1,N,,"216,221,226",3
108,DEXEUSDT,LONG,2026-06-22T17:46:59+00:00,17.84688272,16.81,18.88376545,19.92064817,2.00,WEAK,5.81,N/A,N/A,hotlist_v1,N,,"329,334",2
109,DEXEUSDT,LONG,2026-06-22T18:20:15+00:00,17.89992723,17.51,18.28985445,18.67978168,2.00,WEAK,2.178,N/A,N/A,hotlist_v1,N,,"364,369,338,374,379",5
110,DEXEUSDT,LONG,2026-06-22T19:12:16+00:00,17.93047908,17.51,18.35095816,18.77143724,2.00,WEAK,2.345,N/A,N/A,hotlist_v1,N,,"354,360",2
111,DEXEUSDT,LONG,2026-06-23T04:32:46+00:00,21.73706951,18.03,25.44413903,29.15120854,2.00,WEAK,17.054,N/A,N/A,hotlist_v1,N,,385,1
112,DEXEUSDT,LONG,2026-06-23T04:46:27+00:00,21.78449902,18.11,25.45899804,29.13349706,2.00,MEDIUM,16.867,N/A,N/A,hotlist_v1,N,,388,1
113,DRIFTUSDT,LONG,2026-06-21T20:26:22+00:00,0.02024003,0.01905,0.02143006,0.02262009,2.00,WEAK,5.88,N/A,N/A,hotlist_v1,N,,"208,213",2
114,ESPORTSUSDT,SHORT,2026-06-19T15:21:50+00:00,0.03358103,0.03559,0.03157207,0.0295631,2.00,WEAK,5.982,N/A,N/A,hotlist_v1,N,,68,1
115,ESPORTSUSDT,SHORT,2026-06-19T15:07:17+00:00,0.03368827,0.03559,0.03178654,0.02988482,2.00,MEDIUM,5.645,N/A,N/A,hotlist_v1,N,,62,1
116,ESPORTSUSDT,SHORT,2026-06-19T10:36:55+00:00,0.03844149,0.04347,0.03341297,0.02838446,2.00,WEAK,13.081,N/A,N/A,hotlist_v1,N,,59,1
117,ESPORTSUSDT,SHORT,2026-06-19T10:22:26+00:00,0.03885968,0.0443,0.03341936,0.02797905,2.00,WEAK,14.0,N/A,N/A,hotlist_v1,N,,53,1
118,ESPORTSUSDT,SHORT,2026-06-19T08:28:28+00:00,0.04210868,0.04693,0.03728735,0.03246603,2.00,MEDIUM,11.45,N/A,N/A,hotlist_v1,N,,47,1
119,ESPORTSUSDT,SHORT,2026-06-19T08:09:29+00:00,0.04228311,0.0487,0.03586623,0.02944934,2.00,MEDIUM,15.176,N/A,N/A,hotlist_v1,N,,41,1
120,ESPORTSUSDT,SHORT,2026-06-19T07:54:09+00:00,0.04257288,0.0487,0.03644576,0.03031865,2.00,MEDIUM,14.392,N/A,N/A,hotlist_v1,N,,36,1
121,ESPORTSUSDT,SHORT,2026-06-19T07:14:48+00:00,0.04336083,0.0487,0.03802167,0.0326825,2.00,WEAK,12.313,N/A,N/A,hotlist_v1,N,,33,1
122,ESPORTSUSDT,SHORT,2026-06-19T06:21:25+00:00,0.04400891,0.05334,0.03467783,0.02534674,2.00,WEAK,21.203,N/A,N/A,hotlist_v1,N,,28,1
123,ESPORTSUSDT,SHORT,2026-06-19T06:05:59+00:00,0.0442731,0.05334,0.03520619,0.02613929,2.00,WEAK,20.479,N/A,N/A,hotlist_v1,N,,23,1
124,ESPORTSUSDT,SHORT,2026-06-19T05:51:05+00:00,0.04460102,0.05334,0.03586203,0.02712305,2.00,WEAK,19.594,N/A,N/A,hotlist_v1,N,,17,1
125,FOLKSUSDT,LONG,2026-06-23T04:46:27+00:00,2.67275,2.57975,2.76575,2.85875,2.00,MEDIUM,3.48,N/A,N/A,hotlist_v1,N,,389,1
126,FOLKSUSDT,LONG,2026-06-18T13:36:04+00:00,2.76276743,2.622,2.90353486,3.04430228,2.00,MEDIUM,5.095,N/A,N/A,hotlist_v1,Y,82,11,1
127,FOLKSUSDT,LONG,2026-06-23T04:32:46+00:00,2.77483658,2.656,2.89367316,3.01250974,2.00,MEDIUM,4.283,N/A,N/A,hotlist_v1,Y,82,382,1
128,GUAUSDT,LONG,2026-06-20T08:05:56+00:00,1.01265546,0.8684,1.15691092,1.30116637,2.00,MEDIUM,14.245,N/A,N/A,hotlist_v1,N,,87,1
129,GUAUSDT,LONG,2026-06-20T08:28:10+00:00,1.02943424,0.8684,1.19046847,1.35150271,2.00,MEDIUM,15.643,N/A,N/A,hotlist_v1,N,,94,1
130,GUAUSDT,LONG,2026-06-20T08:43:28+00:00,1.05485952,0.8684,1.24131903,1.42777855,2.00,MEDIUM,17.676,N/A,N/A,hotlist_v1,N,,96,1
131,GUAUSDT,LONG,2026-06-20T08:58:22+00:00,1.07247648,0.8684,1.27655297,1.48062945,2.00,MEDIUM,19.029,N/A,N/A,hotlist_v1,N,,103,1
132,GUAUSDT,LONG,2026-06-18T13:36:04+00:00,1.27776145,1.175,1.3805229,1.48328435,2.00,MEDIUM,8.042,N/A,N/A,hotlist_v1,N,,12,1
133,GUAUSDT,SHORT,2026-06-22T07:06:08+00:00,0.61819064,0.661,0.57538128,0.53257191,2.00,MEDIUM,6.925,N/A,N/A,hotlist_v1,N,,266,1
134,GUAUSDT,SHORT,2026-06-22T06:48:56+00:00,0.62155426,0.661,0.58210852,0.54266278,2.00,MEDIUM,6.346,N/A,N/A,hotlist_v1,N,,"256,261",2
135,GUAUSDT,SHORT,2026-06-21T10:48:45+00:00,0.77116355,0.8419,0.7004271,0.62969065,2.00,MEDIUM,9.173,N/A,N/A,hotlist_v1,N,,157,1
136,GUAUSDT,SHORT,2026-06-21T07:19:29+00:00,0.81992243,0.861,0.77884486,0.73776729,2.00,MEDIUM,5.01,N/A,N/A,hotlist_v1,N,,"153,131",2
