id,symbol,direction,entry,sl,tp1,created_at,status,fill_time,exit_time,wait_min,hold_min,pnl
63,GUAUSDT,SHORT,0.88563214,0.91416071,0.85710357,2026-06-19T15:07:17+00:00,TP1,2026-06-19T15:15:00+00:00,2026-06-19T15:15:00+00:00,7.716666666666667,0.0,3.2212663375111927
60,GUAUSDT,SHORT,0.88864783,1.0832,0.69409566,2026-06-19T10:36:55+00:00,SL,2026-06-19T12:45:00+00:00,2026-06-20T07:00:00+00:00,128.08333333333334,1095.0,-21.89305633031254
66,BELUSDT,LONG,0.11377421,0.105,0.12254841,2026-06-19T15:21:50+00:00,TP1,2026-06-19T23:00:00+00:00,2026-06-20T04:00:00+00:00,458.1666666666667,300.0,7.7119410453388335
68,ESPORTSUSDT,SHORT,0.03358103,0.03559,0.03157207,2026-06-19T15:21:50+00:00,TP1,2026-06-19T20:00:00+00:00,2026-06-19T21:15:00+00:00,278.1666666666667,75.0,5.9824251966065365
65,ZEREBROUSDT,LONG,0.04590422,0.040604,0.05120444,2026-06-19T15:07:17+00:00,SL,2026-06-19T16:00:00+00:00,2026-06-19T17:15:00+00:00,52.71666666666667,75.0,-11.546258709983526
67,BTWUSDT,LONG,0.06986338,0.06472,0.07500676,2026-06-19T15:21:50+00:00,EXPIRED,,,,,
73,UBUSDT,SHORT,0.08502018,0.08698089,0.08305946,2026-06-20T06:35:11+00:00,SL,2026-06-21T05:15:00+00:00,2026-06-21T05:15:00+00:00,1359.8166666666666,0.0,-2.3061701351373287
70,ZEREBROUSDT,LONG,0.04599688,0.041958,0.05003577,2026-06-19T15:21:50+00:00,SL,2026-06-19T16:00:00+00:00,2026-06-19T17:00:00+00:00,38.166666666666664,60.0,-8.780769478277657
75,REUSDT,LONG,0.84237321,0.7817,0.90304643,2026-06-20T06:35:11+00:00,EXPIRED,,,,,
61,BTWUSDT,LONG,0.06964976,0.0647,0.07459953,2026-06-19T15:07:17+00:00,EXPIRED,,,,,
69,REUSDT,LONG,0.70492852,0.5666,0.84325705,2026-06-19T15:21:50+00:00,TP1,2026-06-19T16:15:00+00:00,2026-06-19T21:15:00+00:00,53.166666666666664,300.0,19.62305766831508
76,BELUSDT,LONG,0.12351688,0.11206,0.13497375,2026-06-20T06:50:16+00:00,EXPIRED,,,,,
71,BLESSUSDT,LONG,0.0082291,0.007844,0.00861419,2026-06-20T06:35:11+00:00,SL,2026-06-20T06:45:00+00:00,2026-06-20T07:00:00+00:00,9.816666666666666,15.0,-4.679734114301685
77,BICOUSDT,LONG,0.03611008,0.03115,0.04107017,2026-06-20T06:50:16+00:00,EXPIRED,,,,,
74,BICOUSDT,LONG,0.03574222,0.03115,0.04033444,2026-06-20T06:35:11+00:00,EXPIRED,,,,,
72,BTWUSDT,LONG,0.10550946,0.08524,0.12577891,2026-06-20T06:35:11+00:00,TP1,2026-06-21T04:00:00+00:00,2026-06-21T12:00:00+00:00,1284.8166666666666,480.0,19.21102619613445
78,BLESSUSDT,LONG,0.0082538,0.007844,0.0086636,2026-06-20T06:50:16+00:00,SL,2026-06-20T07:00:00+00:00,2026-06-20T07:00:00+00:00,9.733333333333333,0.0,-4.964985824711042
82,BICOUSDT,LONG,0.03656812,0.03115,0.04198623,2026-06-20T07:05:21+00:00,EXPIRED,,,,,
79,REUSDT,LONG,0.8611583,0.7817,0.9406166,2026-06-20T06:50:16+00:00,TP1,2026-06-20T09:00:00+00:00,2026-06-20T10:30:00+00:00,129.73333333333332,90.0,9.22690984921123
92,BICOUSDT,LONG,0.03816316,0.03147,0.04485631,2026-06-20T08:28:10+00:00,TP1,2026-06-20T10:15:00+00:00,2026-06-20T10:45:00+00:00,106.83333333333333,30.0,17.538248929071912
83,BTWUSDT,LONG,0.10788881,0.09025,0.12552761,2026-06-20T07:05:21+00:00,SL,2026-06-21T04:00:00+00:00,2026-06-21T07:30:00+00:00,1254.65,210.0,-16.349063447821884
87,GUAUSDT,LONG,1.01265546,0.8684,1.15691092,2026-06-20T08:05:56+00:00,SL,2026-06-20T10:00:00+00:00,2026-06-20T11:15:00+00:00,114.06666666666666,75.0,-14.24526561087223
90,REUSDT,LONG,0.87739365,0.7817,0.97308729,2026-06-20T08:05:56+00:00,TP1,2026-06-20T08:15:00+00:00,2026-06-20T10:30:00+00:00,9.066666666666666,135.0,10.906579959861801
89,BTWUSDT,LONG,0.11158792,0.095,0.12817584,2026-06-20T08:05:56+00:00,SL,2026-06-21T03:45:00+00:00,2026-06-21T06:30:00+00:00,1179.0666666666666,165.0,-14.865336678020345
80,BTWUSDT,LONG,0.10670016,0.08944,0.12396032,2026-06-20T06:50:16+00:00,SL,2026-06-21T04:00:00+00:00,2026-06-21T08:45:00+00:00,1269.7333333333333,285.0,-16.176320635320508
95,REUSDT,LONG,0.86954821,0.7817,0.95739643,2026-06-20T08:28:10+00:00,TP1,2026-06-20T09:00:00+00:00,2026-06-20T10:30:00+00:00,31.833333333333332,90.0,10.102742894496902
93,BTWUSDT,LONG,0.11217384,0.095,0.12934769,2026-06-20T08:28:10+00:00,SL,2026-06-21T03:45:00+00:00,2026-06-21T06:30:00+00:00,1156.8333333333333,165.0,-15.310022372417668
88,BICOUSDT,LONG,0.03803413,0.03115,0.04491825,2026-06-20T08:05:56+00:00,TP1,2026-06-20T10:15:00+00:00,2026-06-20T10:45:00+00:00,129.06666666666666,30.0,18.09984874111752
86,BELUSDT,LONG,0.134987,0.11363,0.15634399,2026-06-20T08:05:56+00:00,EXPIRED,,,,,
84,RIFUSDT,LONG,0.10479323,0.0952,0.11438646,2026-06-20T07:05:21+00:00,SL,2026-06-20T08:45:00+00:00,2026-06-20T10:15:00+00:00,99.65,90.0,-9.154436789475808
85,REUSDT,LONG,0.86401102,0.7817,0.94632204,2026-06-20T07:05:21+00:00,TP1,2026-06-20T08:00:00+00:00,2026-06-20T10:30:00+00:00,54.65,150.0,9.52661691745552
81,BELUSDT,LONG,0.12568487,0.11206,0.13930973,2026-06-20T07:05:21+00:00,EXPIRED,,,,,
98,BTWUSDT,LONG,0.11294555,0.095,0.1308911,2026-06-20T08:43:28+00:00,SL,2026-06-21T03:45:00+00:00,2026-06-21T06:30:00+00:00,1141.5333333333333,165.0,-15.888673790158178
91,BELUSDT,LONG,0.13679178,0.11465,0.15893355,2026-06-20T08:28:10+00:00,EXPIRED,,,,,
94,GUAUSDT,LONG,1.02943424,0.8684,1.19046847,2026-06-20T08:28:10+00:00,SL,2026-06-20T10:00:00+00:00,2026-06-20T11:15:00+00:00,91.83333333333333,75.0,-15.642984635910304
96,GUAUSDT,LONG,1.05485952,0.8684,1.24131903,2026-06-20T08:43:28+00:00,SL,2026-06-20T10:00:00+00:00,2026-06-20T11:15:00+00:00,76.53333333333333,75.0,-17.67624185635638
97,BICOUSDT,LONG,0.03833317,0.03167,0.04499634,2026-06-20T08:43:28+00:00,TP1,2026-06-20T10:15:00+00:00,2026-06-20T10:45:00+00:00,91.53333333333333,30.0,17.38225667222408
100,UBUSDT,SHORT,0.08209533,0.08605,0.07814065,2026-06-20T08:43:28+00:00,TP1,2026-06-21T02:45:00+00:00,2026-06-21T03:45:00+00:00,1081.5333333333333,60.0,4.8171802220662245
101,BICOUSDT,LONG,0.03867377,0.03167,0.04567754,2026-06-20T08:58:22+00:00,TP1,2026-06-20T10:15:00+00:00,2026-06-20T10:45:00+00:00,76.63333333333334,30.0,18.109871367596178
107,BICOUSDT,LONG,0.04041312,0.03673,0.04409624,2026-06-20T11:08:15+00:00,TP1,2026-06-20T13:15:00+00:00,2026-06-20T16:00:00+00:00,126.75,165.0,9.113673975184296
103,GUAUSDT,LONG,1.07247648,0.8684,1.27655297,2026-06-20T08:58:22+00:00,SL,2026-06-20T09:30:00+00:00,2026-06-20T11:15:00+00:00,31.633333333333333,105.0,-19.028527320244823
102,BTWUSDT,LONG,0.11449557,0.0978,0.13119114,2026-06-20T08:58:22+00:00,SL,2026-06-21T03:45:00+00:00,2026-06-21T06:15:00+00:00,1126.6333333333334,150.0,-14.581848013857654
106,BELUSDT,LONG,0.1551475,0.1252,0.18509501,2026-06-20T11:08:15+00:00,TIMEOUT,2026-06-20T22:30:00+00:00,2026-06-21T22:30:00+00:00,681.75,1440.0,0.0
110,BTWUSDT,LONG,0.12534891,0.11194,0.13875783,2026-06-20T11:08:15+00:00,TP1,2026-06-20T22:00:00+00:00,2026-06-20T22:00:00+00:00,651.75,0.0,10.697276904920832
109,SLXUSDT,LONG,0.19753777,0.18226,0.21281553,2026-06-20T11:08:15+00:00,TP1,2026-06-20T15:15:00+00:00,2026-06-20T17:45:00+00:00,246.75,150.0,7.734095611183624
108,REUSDT,LONG,0.90326017,0.8326,0.97392033,2026-06-20T11:08:15+00:00,TP1,2026-06-21T05:30:00+00:00,2026-06-21T05:30:00+00:00,1101.75,0.0,7.822791521959836
116,ALICEUSDT,LONG,0.1229064,0.1115,0.1343128,2026-06-20T11:50:15+00:00,EXPIRED,,,,,
104,REUSDT,LONG,0.88042765,0.821,0.93985531,2026-06-20T08:58:22+00:00,TP1,2026-06-20T09:00:00+00:00,2026-06-20T10:30:00+00:00,1.6333333333333333,90.0,6.7498629785195865
112,BICOUSDT,LONG,0.04071345,0.03706,0.04436691,2026-06-20T11:23:18+00:00,TP1,2026-06-20T13:15:00+00:00,2026-06-20T16:00:00+00:00,111.7,165.0,8.973594721154802
119,BICOUSDT,LONG,0.0410997,0.0375,0.04469941,2026-06-20T11:50:15+00:00,TP1,2026-06-20T12:30:00+00:00,2026-06-20T16:00:00+00:00,39.75,210.0,8.758482422012813
113,BTWUSDT,LONG,0.12670455,0.11411,0.1392991,2026-06-20T11:23:18+00:00,TP1,2026-06-20T22:00:00+00:00,2026-06-20T22:00:00+00:00,636.7,0.0,9.94009291694734
117,UBUSDT,SHORT,0.07877922,0.08605,0.07150843,2026-06-20T11:50:15+00:00,SL,2026-06-20T15:00:00+00:00,2026-06-21T05:15:00+00:00,189.75,855.0,-9.2293119936958
111,BELUSDT,LONG,0.15709415,0.1252,0.18898829,2026-06-20T11:23:18+00:00,TIMEOUT,2026-06-20T14:45:00+00:00,2026-06-21T14:45:00+00:00,201.7,1440.0,0.0
120,BTWUSDT,LONG,0.12874449,0.11456,0.14292898,2026-06-20T11:50:15+00:00,TP1,2026-06-20T22:00:00+00:00,2026-06-20T22:00:00+00:00,609.75,0.0,11.017551120051817
118,BELUSDT,LONG,0.16034381,0.133,0.18768762,2026-06-20T11:50:15+00:00,TIMEOUT,2026-06-20T14:30:00+00:00,2026-06-21T14:30:00+00:00,159.75,1440.0,0.0
114,REUSDT,LONG,0.91399112,0.8326,0.99538223,2026-06-20T11:23:18+00:00,TP1,2026-06-21T05:30:00+00:00,2026-06-21T07:45:00+00:00,1086.7,135.0,8.905021965640104
121,BICOUSDT,LONG,0.04174313,0.03911,0.04437626,2026-06-20T16:24:54+00:00,EXPIRED,,,,,
115,UBUSDT,SHORT,0.07999617,0.08605,0.07394234,2026-06-20T11:23:18+00:00,SL,2026-06-21T02:30:00+00:00,2026-06-21T05:15:00+00:00,906.7,165.0,-7.567649801234234
122,BTWUSDT,LONG,0.14893223,0.13033,0.16753446,2026-06-20T16:24:54+00:00,TP1,2026-06-20T16:45:00+00:00,2026-06-20T18:00:00+00:00,20.1,75.0,12.49039915671712
123,ALICEUSDT,LONG,0.13335795,0.1229,0.14381589,2026-06-20T16:24:54+00:00,TP1,2026-06-20T16:30:00+00:00,2026-06-20T19:15:00+00:00,5.1,165.0,7.842007169426345
125,REUSDT,LONG,0.98934116,0.925,1.05368232,2026-06-20T16:24:54+00:00,TP1,2026-06-20T17:30:00+00:00,2026-06-20T19:15:00+00:00,65.1,105.0,6.5034350739031215
124,BELUSDT,LONG,0.16146482,0.15368411,0.16924554,2026-06-20T16:24:54+00:00,TP1,2026-06-20T16:30:00+00:00,2026-06-20T19:00:00+00:00,5.1,150.0,4.818832981698428
130,SYNUSDT,LONG,0.15889893,0.14344,0.17435786,2026-06-20T16:40:02+00:00,SL,2026-06-20T16:45:00+00:00,2026-06-20T21:00:00+00:00,4.966666666666667,255.0,-9.728781685314054
127,REUSDT,LONG,0.99635573,0.925,1.06771146,2026-06-20T16:40:02+00:00,TP1,2026-06-20T17:30:00+00:00,2026-06-20T19:15:00+00:00,49.96666666666667,105.0,7.161672066662375
128,BELUSDT,LONG,0.16258304,0.15479518,0.17037089,2026-06-20T16:40:02+00:00,TP1,2026-06-20T16:45:00+00:00,2026-06-20T19:00:00+00:00,4.966666666666667,135.0,4.790075274764207
129,BICOUSDT,LONG,0.04190263,0.03911,0.04469526,2026-06-20T16:40:02+00:00,EXPIRED,,,,,
133,ALICEUSDT,LONG,0.15319286,0.14716429,0.15922143,2026-06-21T07:19:29+00:00,SL,2026-06-21T07:30:00+00:00,2026-06-21T11:30:00+00:00,10.516666666666667,240.0,-3.9352813179413193
134,BTRUSDT,LONG,0.02477714,0.0223,0.02725429,2026-06-21T07:19:29+00:00,SL,2026-06-21T07:30:00+00:00,2026-06-21T12:00:00+00:00,10.516666666666667,270.0,-9.997683348441345
126,BTWUSDT,LONG,0.14953137,0.13033,0.16873274,2026-06-20T16:40:02+00:00,TP1,2026-06-20T16:45:00+00:00,2026-06-20T18:00:00+00:00,4.966666666666667,75.0,12.84103128326852
132,TNSRUSDT,LONG,0.03727202,0.03114,0.04340403,2026-06-21T07:19:29+00:00,EXPIRED,,,,,
145,LABUSDT,LONG,14.37388992,12.745,16.00277983,2026-06-21T08:02:27+00:00,TP1,2026-06-21T14:00:00+00:00,2026-06-21T23:45:00+00:00,357.55,585.0,11.33228318197667
138,TNSRUSDT,LONG,0.03979879,0.0312,0.04839757,2026-06-21T07:45:36+00:00,EXPIRED,,,,,
144,GUAUSDT,SHORT,0.83589464,0.86427321,0.80751607,2026-06-21T08:02:27+00:00,EXPIRED,,,,,
135,IDOLUSDT,SHORT,0.02300857,0.02385,0.02216714,2026-06-21T07:19:29+00:00,TP1,2026-06-21T07:30:00+00:00,2026-06-21T08:45:00+00:00,10.516666666666667,75.0,3.6570286636674942
140,LABUSDT,LONG,14.27672852,12.637,15.91645704,2026-06-21T07:45:36+00:00,TP1,2026-06-21T14:30:00+00:00,2026-06-21T23:45:00+00:00,404.4,555.0,11.485323950111786
137,GUAUSDT,SHORT,0.8324875,0.861,0.803975,2026-06-21T07:45:36+00:00,TP1,2026-06-21T08:00:00+00:00,2026-06-21T08:15:00+00:00,14.4,15.0,3.4249763509962614
136,ALICEUSDT,LONG,0.1545875,0.1493375,0.1598375,2026-06-21T07:45:36+00:00,SL,2026-06-21T08:00:00+00:00,2026-06-21T08:15:00+00:00,14.4,15.0,-3.3961348750707527
142,ALICEUSDT,LONG,0.15175893,0.14639464,0.15712321,2026-06-21T08:02:27+00:00,TP1,2026-06-21T08:15:00+00:00,2026-06-21T09:45:00+00:00,12.55,90.0,3.534737626312995
