id,symbol,direction,entry,sl,tp1,tp2,rr,confidence,created_at
86,BELUSDT,LONG,0.134987,0.11363,0.15634399,0.17770099,2.00,MEDIUM,2026-06-20T08:05:56+00:00
87,GUAUSDT,LONG,1.01265546,0.8684,1.15691092,1.30116637,2.00,MEDIUM,2026-06-20T08:05:56+00:00
88,BICOUSDT,LONG,0.03803413,0.03115,0.04491825,0.05180238,2.00,WEAK,2026-06-20T08:05:56+00:00
89,BTWUSDT,LONG,0.11158792,0.095,0.12817584,0.14476376,2.00,WEAK,2026-06-20T08:05:56+00:00
90,REUSDT,LONG,0.87739365,0.7817,0.97308729,1.06878094,2.00,WEAK,2026-06-20T08:05:56+00:00
91,BELUSDT,LONG,0.13679178,0.11465,0.15893355,0.18107533,2.00,MEDIUM,2026-06-20T08:28:10+00:00
92,BICOUSDT,LONG,0.03816316,0.03147,0.04485631,0.05154947,2.00,MEDIUM,2026-06-20T08:28:10+00:00
93,BTWUSDT,LONG,0.11217384,0.095,0.12934769,0.14652153,2.00,MEDIUM,2026-06-20T08:28:10+00:00
94,GUAUSDT,LONG,1.02943424,0.8684,1.19046847,1.35150271,2.00,MEDIUM,2026-06-20T08:28:10+00:00
95,REUSDT,LONG,0.86954821,0.7817,0.95739643,1.04524464,2.00,MEDIUM,2026-06-20T08:28:10+00:00
96,GUAUSDT,LONG,1.05485952,0.8684,1.24131903,1.42777855,2.00,MEDIUM,2026-06-20T08:43:28+00:00
97,BICOUSDT,LONG,0.03833317,0.03167,0.04499634,0.0516595,2.00,WEAK,2026-06-20T08:43:28+00:00
98,BTWUSDT,LONG,0.11294555,0.095,0.1308911,0.14883665,2.00,WEAK,2026-06-20T08:43:28+00:00
100,UBUSDT,SHORT,0.08209533,0.08605,0.07814065,0.07418598,2.00,WEAK,2026-06-20T08:43:28+00:00
101,BICOUSDT,LONG,0.03867377,0.03167,0.04567754,0.05268131,2.00,MEDIUM,2026-06-20T08:58:22+00:00
102,BTWUSDT,LONG,0.11449557,0.0978,0.13119114,0.14788671,2.00,MEDIUM,2026-06-20T08:58:22+00:00
103,GUAUSDT,LONG,1.07247648,0.8684,1.27655297,1.48062945,2.00,MEDIUM,2026-06-20T08:58:22+00:00
104,REUSDT,LONG,0.88042765,0.821,0.93985531,0.99928296,2.00,WEAK,2026-06-20T08:58:22+00:00
106,BELUSDT,LONG,0.1551475,0.1252,0.18509501,0.21504251,2.00,MEDIUM,2026-06-20T11:08:15+00:00
107,BICOUSDT,LONG,0.04041312,0.03673,0.04409624,0.04777936,2.00,MEDIUM,2026-06-20T11:08:15+00:00
108,REUSDT,LONG,0.90326017,0.8326,0.97392033,1.0445805,2.00,MEDIUM,2026-06-20T11:08:15+00:00
109,SLXUSDT,LONG,0.19753777,0.18226,0.21281553,0.2280933,2.00,MEDIUM,2026-06-20T11:08:15+00:00
110,BTWUSDT,LONG,0.12534891,0.11194,0.13875783,0.15216674,2.00,WEAK,2026-06-20T11:08:15+00:00
111,BELUSDT,LONG,0.15709415,0.1252,0.18898829,0.22088244,2.00,MEDIUM,2026-06-20T11:23:18+00:00
112,BICOUSDT,LONG,0.04071345,0.03706,0.04436691,0.04802036,2.00,MEDIUM,2026-06-20T11:23:18+00:00
113,BTWUSDT,LONG,0.12670455,0.11411,0.1392991,0.15189364,2.00,MEDIUM,2026-06-20T11:23:18+00:00
114,REUSDT,LONG,0.91399112,0.8326,0.99538223,1.07677335,2.00,MEDIUM,2026-06-20T11:23:18+00:00
115,UBUSDT,SHORT,0.07999617,0.08605,0.07394234,0.06788852,2.00,MEDIUM,2026-06-20T11:23:18+00:00
116,ALICEUSDT,LONG,0.1229064,0.1115,0.1343128,0.1457192,2.00,MEDIUM,2026-06-20T11:50:15+00:00
117,UBUSDT,SHORT,0.07877922,0.08605,0.07150843,0.06423765,2.00,MEDIUM,2026-06-20T11:50:15+00:00
118,BELUSDT,LONG,0.16034381,0.133,0.18768762,0.21503144,2.00,WEAK,2026-06-20T11:50:15+00:00
119,BICOUSDT,LONG,0.0410997,0.0375,0.04469941,0.04829911,2.00,WEAK,2026-06-20T11:50:15+00:00
120,BTWUSDT,LONG,0.12874449,0.11456,0.14292898,0.15711346,2.00,WEAK,2026-06-20T11:50:15+00:00
121,BICOUSDT,LONG,0.04174313,0.03911,0.04437626,0.04700939,2.00,MEDIUM,2026-06-20T16:24:54+00:00
122,BTWUSDT,LONG,0.14893223,0.13033,0.16753446,0.18613669,2.00,MEDIUM,2026-06-20T16:24:54+00:00
123,ALICEUSDT,LONG,0.13335795,0.1229,0.14381589,0.15427384,2.00,WEAK,2026-06-20T16:24:54+00:00
124,BELUSDT,LONG,0.16146482,0.15368411,0.16924554,0.17702625,2.00,WEAK,2026-06-20T16:24:54+00:00
125,REUSDT,LONG,0.98934116,0.925,1.05368232,1.11802348,2.00,WEAK,2026-06-20T16:24:54+00:00
126,BTWUSDT,LONG,0.14953137,0.13033,0.16873274,0.18793412,2.00,MEDIUM,2026-06-20T16:40:02+00:00
127,REUSDT,LONG,0.99635573,0.925,1.06771146,1.13906718,2.00,MEDIUM,2026-06-20T16:40:02+00:00
128,BELUSDT,LONG,0.16258304,0.15479518,0.17037089,0.17815875,2.00,WEAK,2026-06-20T16:40:02+00:00
129,BICOUSDT,LONG,0.04190263,0.03911,0.04469526,0.04748789,2.00,WEAK,2026-06-20T16:40:02+00:00
130,SYNUSDT,LONG,0.15889893,0.14344,0.17435786,0.18981679,2.00,WEAK,2026-06-20T16:40:02+00:00
131,GUAUSDT,SHORT,0.81992243,0.861,0.77884486,0.73776729,2.00,MEDIUM,2026-06-21T07:19:29+00:00
132,TNSRUSDT,LONG,0.03727202,0.03114,0.04340403,0.04953605,2.00,MEDIUM,2026-06-21T07:19:29+00:00
133,ALICEUSDT,LONG,0.15319286,0.14716429,0.15922143,0.16525,2.00,WEAK,2026-06-21T07:19:29+00:00
134,BTRUSDT,LONG,0.02477714,0.0223,0.02725429,0.02973143,2.00,WEAK,2026-06-21T07:19:29+00:00
135,IDOLUSDT,SHORT,0.02300857,0.02385,0.02216714,0.02132571,2.00,WEAK,2026-06-21T07:19:29+00:00
136,ALICEUSDT,LONG,0.1545875,0.1493375,0.1598375,0.1650875,2.00,MEDIUM,2026-06-21T07:45:36+00:00
137,GUAUSDT,SHORT,0.8324875,0.861,0.803975,0.7754625,2.00,MEDIUM,2026-06-21T07:45:36+00:00
138,TNSRUSDT,LONG,0.03979879,0.0312,0.04839757,0.05699636,2.00,MEDIUM,2026-06-21T07:45:36+00:00
140,LABUSDT,LONG,14.27672852,12.637,15.91645704,17.55618556,2.00,WEAK,2026-06-21T07:45:36+00:00
